account_id,application_date,age,gender,region,education,employment_type,product_tier,channel,is_autopay,has_collateral,credit_score,monthly_income,annual_income,existing_debt,debt_to_income,loan_amount,interest_rate,term_months,monthly_payment,total_payment,num_late_payments,num_inquiries_90d,tenure_days,nps_score,customer_feedback,default_notice_date,defaulted,num_dependents,risk_band
ACCT-0005653,2023-03-24,66.0,male,midwest,bachelor,full_time,standard,branch,False,False,639,5581.75,67037.49,11946.31,0.1782,37507.13,0.0908,72,677.55,48783.64,0,1.0,862,5.0,very smooth application process and the agent was helpful.,,0,3,high
ACCT-0002872,2024-02-14,35.0,male,west,graduate,self_employed,basic,online,False,True,713,2594.06,31483.77,12939.12,0.411,41822.8,0.1002,24,1907.14,45771.39,1,0.0,960,5.0,still evaluating against other offers from competitor banks.,,0,1,medium
ACCT-0003586,2024-06-13,37.0,male,south,bachelor,self_employed,basic,agent,True,True,757,6046.67,72488.63,23148.9,0.3193,77263.15,0.1036,60,1610.02,96601.21,2,0.0,1029,6.0,"rates were competitive and the funds came through quickly. great customer service, will recommend to friends and family.",,0,0,low
ACCT-0002953,2023-09-05,58.0,female,pacific,bachelor,full_time,standard,mobile,True,False,681,5179.42,61985.29,20927.62,0.3376,76608.5,0.1303,72,1491.06,107356.65,0,1.0,463,9.0,"process was fine, nothing exceptional either way.",,0,0,medium
ACCT-0003744,2022-09-20,29.0,female,south,bachelor,full_time,basic,branch,False,True,718,3957.18,47360.44,26593.04,0.5615,31354.71,0.0897,60,650.39,39023.51,1,0.0,316,3.0,the autopay system charged me twice in the same month.,2024-02-05,1,1,medium
ACCT-0001984,2022-08-22,54.0,female,midwest,graduate,part_time,standard,mobile,True,False,577,6654.71,79513.42,16492.94,0.2074,70869.48,0.0956,36,2272.16,81797.64,0,3.0,1183,10.0,"great customer service, will recommend to friends and family. easy to track payments through the mobile app.",,0,2,very_high
ACCT-0003200,2024-09-29,23.0,female,pacific,bachelor,full_time,standard,online,False,False,673,3862.26,46096.43,28122.75,0.6101,42620.92,0.0957,36,1342.94,48346.0,0,2.0,1089,5.0,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed. great customer service, will recommend to friends and family.",,0,1,medium
ACCT-0005906,2023-01-23,48.0,female,south,bachelor,full_time,standard,mobile,True,True,685,4392.21,52912.09,9700.32,0.1833,34926.85,0.1159,36,1153.24,41516.58,1,0.0,1257,10.0,"great customer service, will recommend to friends and family. rates were competitive and the funds came through quickly.",,0,0,medium
ACCT-0001024,2022-11-17,39.0,female,northeast,high_school,full_time,basic,mobile,True,False,817,3415.01,41159.64,10685.07,0.2596,18601.69,0.0765,24,838.32,20119.57,0,0.0,1207,6.0,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed. great customer service, will recommend to friends and family.",,0,3,low
ACCT-0001698,2022-07-02,33.0,female,pacific,bachelor,full_time,standard,online,True,False,813,5669.34,68039.86,30184.3,0.4436,31840.09,0.0736,12,2760.29,33123.45,3,0.0,1075,10.0,"great customer service, will recommend to friends and family. very smooth application process and the agent was helpful. easy to track payments through the mobile app.",,0,1,low
ACCT-0001176,2024-01-04,61.0,male,west,graduate,full_time,standard,mobile,True,False,585,3228.1,38885.06,21279.19,0.5472,48692.35,0.0755,72,814.94,58675.69,1,1.0,955,5.0,very smooth application process and the agent was helpful.,,0,0,high
ACCT-0005170,2024-01-21,18.0,male,northeast,bachelor,full_time,basic,online,True,False,652,4206.22,50848.69,10434.44,0.2052,49602.18,0.0833,84,751.85,63155.72,1,2.0,642,10.0,"transparent fees, no hidden charges that I noticed. rates were competitive and the funds came through quickly. very smooth application process and the agent was helpful.",,0,2,high
ACCT-0004246,2024-01-30,59.0,male,west,bachelor,full_time,standard,online,True,True,768,2781.24,33369.03,23218.68,0.6958,12242.08,0.0708,48,286.84,13768.14,0,3.0,1026,,"process was fine, nothing exceptional either way.",2024-05-22,1,5,low
ACCT-0002512,2023-06-01,36.0,male,midwest,bachelor,full_time,standard,agent,False,False,723,3950.6,47151.0,7918.52,0.1679,25166.17,0.0566,72,413.04,29739.21,0,1.0,1186,4.0,"process was fine, nothing exceptional either way. still evaluating against other offers from competitor banks.",,0,0,medium
ACCT-0000850,2024-06-06,39.0,female,west,graduate,full_time,premium,online,False,False,680,4906.52,58964.35,24169.58,0.4099,64847.26,0.124,48,1682.44,80757.36,2,1.0,613,6.0,rates were competitive and the funds came through quickly. very smooth application process and the agent was helpful.,,0,2,medium
ACCT-0004906,2022-05-21,29.0,male,northeast,graduate,full_time,standard,online,True,False,663,4377.88,52820.57,14731.71,0.2789,61339.79,0.0892,24,2799.98,67199.43,0,0.0,997,9.0,rates were competitive and the funds came through quickly. very smooth application process and the agent was helpful.,,0,0,high
ACCT-0003092,2023-09-10,18.0,female,northeast,graduate,self_employed,basic,online,False,False,709,2828.75,33864.35,9910.77,0.2927,46651.97,0.0932,60,948.63,56917.82,0,0.0,624,2.0,,,0,1,medium
ACCT-0000449,2024-01-24,69.0,male,midwest,bachelor,full_time,basic,mobile,False,False,574,10071.38,121038.58,32402.54,0.2677,86115.63,0.0831,72,1472.86,106045.87,0,1.0,1411,3.0,the autopay system charged me twice in the same month. support never returned my calls about the missed payment.,2025-04-06,1,0,very_high
ACCT-0004249,2023-07-27,37.0,female,northeast,graduate,full_time,basic,branch,False,True,669,5467.65,65682.69,16181.73,0.2464,29911.67,0.0646,60,584.74,35084.57,0,2.0,439,,"great customer service, will recommend to friends and family. very smooth application process and the agent was helpful.",,0,3,high
ACCT-0000718,2022-01-16,26.0,nonbinary,northeast,bachelor,part_time,basic,branch,False,False,605,4115.44,49566.73,26350.92,0.5316,44096.41,0.0735,36,1368.65,49271.33,1,2.0,216,,still evaluating against other offers from competitor banks.,,0,0,high
ACCT-0004902,2024-07-26,46.0,female,northeast,graduate,full_time,standard,online,False,False,703,2840.03,34315.33,11190.14,0.3261,26674.52,0.0821,48,638.92,30668.19,1,1.0,1294,4.0,rates were competitive and the funds came through quickly.,,0,1,medium
ACCT-0001630,2022-11-13,28.0,female,west,bachelor,full_time,basic,online,False,False,611,5578.02,67227.11,46026.49,0.6846,17509.33,0.0719,60,348.27,20895.92,2,1.0,1493,8.0,very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly. easy to track payments through the mobile app.,,0,3,high
ACCT-0000351,2024-11-10,54.0,female,pacific,high_school,full_time,standard,online,False,False,734,3952.82,47347.33,25179.44,0.5318,43644.68,0.1109,60,924.94,55496.4,1,,1478,3.0,"great customer service, will recommend to friends and family.",,0,1,medium
ACCT-0002738,2024-10-31,62.0,female,midwest,associate,full_time,standard,mobile,False,False,741,7590.92,91299.87,26668.49,0.2921,24340.75,0.1069,84,397.72,33408.86,0,2.0,685,5.0,the autopay system charged me twice in the same month. support never returned my calls about the missed payment.,2025-12-11,1,1,low
ACCT-0005699,2022-10-31,54.0,female,midwest,bachelor,full_time,basic,mobile,True,False,786,3272.04,39130.05,19814.59,0.5064,29548.57,0.0992,12,2596.62,31159.49,1,1.0,1197,3.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0,1,low
ACCT-0004374,2023-02-18,44.0,male,northeast,high_school,full_time,standard,online,True,False,618,3026.64,36162.3,15628.29,0.4322,37387.83,0.1038,12,3293.67,39524.09,4,3.0,710,4.0,easy to track payments through the mobile app.,,0,2,high
ACCT-0004622,2022-01-02,36.0,female,west,bachelor,full_time,standard,branch,True,False,698,3509.89,42117.34,11461.18,0.2721,31134.25,0.1102,72,592.97,42693.98,1,2.0,842,7.0,rates were competitive and the funds came through quickly. very smooth application process and the agent was helpful.,,0,1,medium
ACCT-0003451,2023-08-30,56.0,male,west,graduate,full_time,standard,online,False,True,738,14305.83,171643.25,32930.05,0.1919,199602.37,0.1024,24,9232.83,221587.92,0,1.0,1419,5.0,rates were competitive and the funds came through quickly.,,0,0,medium
ACCT-0002160,2024-07-18,26.0,female,northeast,bachelor,contract,premium,mobile,True,True,823,3357.82,40566.77,17044.07,0.4201,50106.8,0.1066,60,1051.38,63082.54,0,0.0,457,6.0,"transparent fees, no hidden charges that I noticed. great customer service, will recommend to friends and family. easy to track payments through the mobile app.",,0,0,low
ACCT-0002186,2023-07-06,60.0,female,midwest,graduate,part_time,standard,mobile,True,False,748,3341.59,39996.79,,0.2482,35832.71,0.0722,12,3104.18,37250.21,0,0.0,1246,9.0,took longer than expected but got approved in the end. still evaluating against other offers from competitor banks.,,0,0,low
ACCT-0000855,2024-06-22,56.0,male,midwest,bachelor,full_time,basic,online,False,True,783,7451.08,89376.06,23530.02,0.2633,44041.11,0.0946,84,692.16,58141.06,1,3.0,517,3.0,"great customer service, will recommend to friends and family. very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly.",,0,3,low
ACCT-0000921,2023-11-06,55.0,male,northeast,high_school,full_time,basic,branch,True,False,618,5654.95,67806.38,14817.88,0.2185,71701.51,0.0961,36,2260.6,81381.69,0,0.0,944,8.0,"documentation requirements were typical for this kind of loan. process was fine, nothing exceptional either way.",,0,1,high
ACCT-0001367,2023-01-22,30.0,nonbinary,northeast,associate,part_time,standard,online,True,False,647,7277.82,87677.68,16926.08,0.193,38863.69,0.0843,24,1765.3,42367.26,1,0.0,509,5.0,"easy to track payments through the mobile app. transparent fees, no hidden charges that I noticed.",,0,2,high
ACCT-0004101,2023-08-03,41.0,male,south,associate,self_employed,standard,mobile,True,False,753,6256.17,74855.56,12715.33,0.1699,48162.44,0.0681,72,816.63,58797.55,0,0.0,1185,9.0,"ok experience overall, no strong feelings to share. still evaluating against other offers from competitor banks.",,0,1,low
ACCT-0002844,2023-03-12,48.0,female,northeast,high_school,full_time,basic,online,True,False,657,7183.24,86276.39,14436.82,0.1673,99139.56,0.0857,60,2037.51,122250.33,0,3.0,283,6.0,,,0,0,high
ACCT-0005565,2024-04-25,30.0,male,south,high_school,full_time,basic,online,False,False,561,2231.82,26624.7,19810.4,0.7441,23502.02,0.1046,72,426.71,30722.95,1,2.0,1403,0.0,took longer than expected but got approved in the end. documentation requirements were typical for this kind of loan.,2024-11-01,1,0,very_high
ACCT-0004568,2024-05-13,37.0,female,west,bachelor,part_time,basic,online,True,True,727,1887.63,22750.6,12597.05,0.5537,23778.02,0.1239,24,1110.38,26649.06,1,1.0,809,10.0,took longer than expected but got approved in the end. still evaluating against other offers from competitor banks.,,0,0,medium
ACCT-0000043,2023-11-25,48.0,male,northeast,bachelor,full_time,standard,online,True,False,791,6315.11,75816.29,25276.42,0.3334,92833.04,0.0876,48,2247.02,107857.18,0,0.0,1344,7.0,rates were competitive and the funds came through quickly.,,0,1,low
ACCT-0001423,2024-05-28,51.0,male,northeast,associate,full_time,basic,mobile,False,False,843,8428.49,101291.62,25224.13,0.249,52320.9,0.037,84,679.6,57086.78,0,,299,7.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed. very smooth application process and the agent was helpful.",,0,3,low
ACCT-0003487,2024-06-07,39.0,male,west,high_school,full_time,basic,mobile,False,False,744,3503.85,41889.23,11155.93,0.2663,43436.1,0.0865,36,1350.18,48606.58,0,2.0,778,5.0,took longer than expected but got approved in the end.,,0,1,low
ACCT-0001873,2023-08-06,40.0,female,west,graduate,contract,standard,branch,False,False,612,4322.99,51699.3,18119.68,0.3505,14528.31,0.1458,84,276.93,23262.37,0,0.0,1133,6.0,"transparent fees, no hidden charges that I noticed. rates were competitive and the funds came through quickly. great customer service, will recommend to friends and family.",,0,1,high
ACCT-0005472,2024-12-06,20.0,male,northeast,bachelor,part_time,basic,branch,False,False,709,5018.55,60020.36,11779.31,0.1963,61387.23,0.0978,84,974.66,81871.31,1,2.0,614,5.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed. very smooth application process and the agent was helpful.",,0,0,medium
ACCT-0004670,2024-10-18,18.0,female,northeast,high_school,part_time,standard,online,False,False,607,3192.82,38823.91,18931.39,0.4876,20538.8,0.0877,60,412.26,24735.49,4,3.0,372,9.0,the agent kept rescheduling and the process took weeks. the autopay system charged me twice in the same month.,2025-08-06,1,0,high
ACCT-0001108,2022-05-13,39.0,female,midwest,bachelor,self_employed,basic,online,True,False,659,5010.06,60532.72,31305.5,0.5172,38457.88,0.1452,72,803.21,57831.22,1,2.0,1367,6.0,"process was fine, nothing exceptional either way. ok experience overall, no strong feelings to share.",,0,2,high
ACCT-0002211,2022-10-02,33.0,female,south,graduate,full_time,premium,mobile,False,True,634,12162.04,146387.84,27899.53,0.1906,150830.66,0.0872,48,3733.11,179189.28,0,1.0,1284,6.0,"great customer service, will recommend to friends and family. very smooth application process and the agent was helpful. easy to track payments through the mobile app.",,0,0,high
ACCT-0001823,2023-01-10,54.0,female,south,bachelor,self_employed,premium,mobile,True,False,635,3213.17,38739.28,17710.08,0.4572,40760.33,0.0552,72,666.32,47975.1,0,1.0,80,6.0,took longer than expected but got approved in the end. still evaluating against other offers from competitor banks.,,0,0,high
ACCT-0003756,2024-07-19,42.0,female,northeast,bachelor,full_time,standard,mobile,True,False,717,5416.72,65038.95,16760.43,0.2577,88799.79,0.0595,24,3885.75,93257.96,1,2.0,1382,7.0,"great customer service, will recommend to friends and family.",,0,1,medium
ACCT-0003145,2023-07-20,32.0,male,northeast,bachelor,full_time,standard,online,False,False,739,5706.05,68538.28,22427.09,0.3272,91494.3,0.0824,36,2877.27,103581.83,1,0.0,658,,still evaluating against other offers from competitor banks. documentation requirements were typical for this kind of loan. took longer than expected but got approved in the end.,,0,2,medium
