account_id,application_date,age,gender,region,education,employment_type,product_tier,channel,is_autopay,has_collateral,credit_score,monthly_income,annual_income,existing_debt,debt_to_income,loan_amount,interest_rate,term_months,monthly_payment,total_payment,num_late_payments,num_inquiries_90d,tenure_days,nps_score,customer_feedback,default_notice_date,defaulted,num_dependents,risk_band
ACCT-0005415,2024-06-22,41.0,male,pacific,bachelor,part_time,premium,mobile,True,False,762,4386.64,52414.54,20663.33,0.3942,29109.88,0.0759,84,447.83,37617.59,0,1.0,949,3.0,easy to track payments through the mobile app.,,0,0,low
ACCT-0004940,2022-01-26,35.0,male,west,associate,full_time,standard,online,False,False,744,5524.27,66189.19,18534.28,0.28,50543.42,0.0889,24,2306.45,55354.87,1,4.0,635,6.0,"transparent fees, no hidden charges that I noticed. very smooth application process and the agent was helpful.",,0,1,low
ACCT-0004952,2023-10-28,42.0,male,pacific,bachelor,full_time,basic,online,True,False,577,6901.42,83098.23,16111.04,0.1939,68566.53,0.132,24,3266.22,78389.31,0,1.0,1237,8.0,"transparent fees, no hidden charges that I noticed. very smooth application process and the agent was helpful. rates were competitive and the funds came through quickly.",,0,1,very_high
ACCT-0000907,2022-12-07,37.0,male,pacific,bachelor,contract,premium,online,True,False,672,2978.37,35908.8,13206.63,0.3678,18595.96,0.0782,24,839.53,20148.63,0,1.0,243,,"great customer service, will recommend to friends and family.",,0,0,medium
ACCT-0004580,2023-01-18,35.0,male,south,bachelor,full_time,standard,branch,True,False,759,9294.0,111531.7,18489.05,0.1658,94021.64,0.0779,48,2285.95,109725.65,1,0.0,244,8.0,easy to track payments through the mobile app.,,0,1,low
ACCT-0004426,2023-02-19,27.0,male,midwest,high_school,full_time,standard,online,False,True,771,3529.12,42601.6,9447.0,0.2218,36158.19,0.0704,12,3129.34,37552.08,1,0.0,1436,5.0,"documentation requirements were typical for this kind of loan. process was fine, nothing exceptional either way. ok experience overall, no strong feelings to share.",,0,1,low
ACCT-0001833,2022-08-22,35.0,female,northeast,high_school,self_employed,basic,branch,True,False,576,3081.07,36654.36,12787.61,0.3489,42423.58,0.1206,48,1118.39,53682.69,3,1.0,552,8.0,"very smooth application process and the agent was helpful. transparent fees, no hidden charges that I noticed. great customer service, will recommend to friends and family.",,0,2,very_high
ACCT-0005860,2024-05-14,34.0,male,midwest,bachelor,full_time,standard,online,False,False,625,2575.15,30706.69,6398.74,0.2084,20606.31,0.1219,24,971.89,23325.28,0,2.0,1389,5.0,"still evaluating against other offers from competitor banks. process was fine, nothing exceptional either way.",,0,1,high
ACCT-0003779,2024-04-22,58.0,female,south,bachelor,self_employed,basic,mobile,False,False,639,1750.64,20962.45,11100.46,0.5295,16039.46,0.1153,24,751.51,18036.19,1,3.0,328,7.0,very smooth application process and the agent was helpful.,,0,1,high
ACCT-0003625,2022-05-29,26.0,male,midwest,bachelor,self_employed,premium,online,False,False,599,3147.02,38252.73,22847.85,0.5973,44711.38,0.0672,24,1996.22,47909.32,0,2.0,739,6.0,"easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0,2,high
ACCT-0005161,2023-09-17,58.0,male,northeast,graduate,full_time,premium,mobile,True,False,787,4268.96,51113.02,11348.98,0.222,44167.42,0.0745,12,3830.76,45969.08,1,2.0,975,6.0,"ok experience overall, no strong feelings to share.",,0,1,low
