account_id,application_date,age,gender,region,education,employment_type,product_tier,channel,is_autopay,has_collateral,credit_score,monthly_income,annual_income,existing_debt,debt_to_income,loan_amount,interest_rate,term_months,monthly_payment,total_payment,num_late_payments,num_inquiries_90d,tenure_days,nps_score,customer_feedback,default_notice_date,defaulted
ACCT-0001277,2024-08-27,43.0,female,south,bachelor,full_time,standard,mobile,False,False,693,4621.22,55391.98,10917.51,0.1971,36189.1,0.0479,12,3094.52,37134.24,0,1.0,1092,4.0,easy to track payments through the mobile app.,,0
ACCT-0001781,2022-12-21,39.0,female,midwest,bachelor,full_time,basic,online,True,False,679,7330.35,87998.14,16829.41,0.1912,24405.28,0.0604,72,404.93,29154.91,0,1.0,1438,4.0,"process was fine, nothing exceptional either way. ok experience overall, no strong feelings to share.",,0
ACCT-0002088,2022-07-08,40.0,male,south,bachelor,contract,basic,branch,False,False,674,3055.72,36933.0,15176.0,0.4109,26997.26,0.0766,72,468.86,33758.18,1,,464,4.0,"easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0
ACCT-0000872,2024-03-26,35.0,male,west,associate,contract,basic,branch,True,False,646,3913.69,46736.01,14427.69,0.3087,23933.94,0.0881,60,494.62,29677.43,0,2.0,811,3.0,the agent kept rescheduling and the process took weeks. interest rate jumped after the first quarter without warning.,2024-10-25,1
ACCT-0000125,2022-11-27,32.0,male,midwest,bachelor,self_employed,basic,mobile,True,False,642,5558.86,66379.21,12502.72,0.1884,29729.18,0.1018,48,756.54,36313.7,2,1.0,587,10.0,very smooth application process and the agent was helpful.,,0
ACCT-0002303,2024-03-30,34.0,male,south,bachelor,full_time,standard,mobile,True,False,729,4413.47,53232.55,21368.61,0.4014,49022.09,0.0577,24,2167.53,52020.61,1,0.0,890,3.0,"still evaluating against other offers from competitor banks. ok experience overall, no strong feelings to share.",,0
ACCT-0001822,2022-07-14,46.0,female,south,bachelor,full_time,standard,online,False,True,631,1443.86,17469.39,16685.51,0.9551,21546.6,0.0933,24,987.62,23702.79,2,1.0,744,8.0,rates were competitive and the funds came through quickly.,,0
ACCT-0002469,2024-08-24,23.0,male,pacific,bachelor,full_time,basic,branch,True,True,702,6757.56,81384.41,,0.3585,34987.46,0.071,36,1081.96,38950.49,0,0.0,1489,9.0,interest rate jumped after the first quarter without warning. the autopay system charged me twice in the same month.,2025-02-09,1
ACCT-0000026,2023-09-23,40.0,female,south,associate,full_time,standard,online,True,False,624,2797.71,33749.68,12403.91,0.3675,19602.18,0.0863,12,1710.89,20530.63,0,0.0,97,7.0,"ok experience overall, no strong feelings to share.",,0
ACCT-0002063,2024-05-27,36.0,female,northeast,graduate,full_time,basic,mobile,True,False,661,3636.29,43985.69,17426.78,0.3962,50338.71,0.1167,36,1663.93,59901.56,0,0.0,1191,3.0,"process was fine, nothing exceptional either way. still evaluating against other offers from competitor banks.",,0
