account_id,application_date,age,gender,region,education,employment_type,product_tier,channel,is_autopay,has_collateral,credit_score,monthly_income,annual_income,existing_debt,debt_to_income,loan_amount,interest_rate,term_months,monthly_payment,total_payment,num_late_payments,num_inquiries_90d,tenure_days,nps_score,customer_feedback,default_notice_date,defaulted,num_dependents,risk_band,referral_source,account_balance
ACCT-0000213,2023-07-06,56.0,female,west,bachelor,full_time,standard,online,True,False,725,8181.72,98121.53,22732.41,0.2317,123094.0,0.1024,72,2295.08,165246.07,0,2.0,705,8.0,"still evaluating against other offers from competitor banks. process was fine, nothing exceptional either way.",,0,0,medium,organic,10755.21
ACCT-0005905,2023-04-22,54.0,female,south,bachelor,full_time,premium,agent,True,False,778,11118.21,133527.27,24270.67,0.1818,66267.99,0.0288,24,2844.69,68272.66,2,0.0,1078,6.0,"process was fine, nothing exceptional either way. still evaluating against other offers from competitor banks. documentation requirements were typical for this kind of loan.",,0,0,low,email,7286.88
ACCT-0006016,2022-12-24,53.0,male,midwest,associate,full_time,basic,online,True,False,762,8700.39,104605.93,34071.44,0.3257,31051.12,0.094,72,565.83,40739.6,0,2.0,1441,9.0,"documentation requirements were typical for this kind of loan. ok experience overall, no strong feelings to share.",,0,0,low,paid_ads,12006.63
ACCT-0008869,2023-12-17,44.0,female,south,graduate,contract,standard,online,True,False,624,4084.27,49116.87,10907.47,0.2221,43718.4,0.1183,24,2054.46,49306.99,0,1.0,408,7.0,rates were competitive and the funds came through quickly. easy to track payments through the mobile app.,,0,1,high,referral,8028.62
ACCT-0000841,2023-07-16,45.0,female,west,bachelor,contract,standard,mobile,False,False,573,4368.31,52290.46,8494.42,0.1624,53831.24,0.1326,84,986.92,82901.33,1,1.0,171,,"great customer service, will recommend to friends and family.",,0,1,very_high,referral,4762.85
ACCT-0001544,2024-07-06,32.0,female,west,bachelor,full_time,premium,online,True,False,686,3964.64,47576.64,17008.28,0.3575,56941.29,0.0905,12,4980.9,59770.75,1,1.0,1139,4.0,"ok experience overall, no strong feelings to share. took longer than expected but got approved in the end.",,0,0,medium,paid_ads,9417.04
ACCT-0000187,2023-09-14,18.0,male,northeast,high_school,self_employed,basic,branch,True,False,647,10637.98,128108.15,37007.94,0.2889,92720.91,0.0934,72,1686.97,121461.8,1,,1440,4.0,easy to track payments through the mobile app. rates were competitive and the funds came through quickly.,,0,2,high,organic,4812.71
ACCT-0002775,2023-02-05,58.0,female,south,high_school,full_time,standard,mobile,False,False,711,4616.17,55295.42,15808.52,0.2859,26056.44,0.1054,84,439.89,36951.09,1,3.0,879,4.0,rates were competitive and the funds came through quickly.,,0,0,medium,organic,10044.91
ACCT-0006485,2022-02-04,43.0,female,west,bachelor,full_time,basic,mobile,False,False,717,5703.34,68456.03,26890.61,0.3928,26096.08,0.1002,12,2294.56,27534.68,0,0.0,861,10.0,"great customer service, will recommend to friends and family.",,0,5,medium,referral,10161.34
ACCT-0006484,2023-07-19,44.0,male,south,bachelor,full_time,standard,online,False,False,825,3934.44,46891.04,12057.52,0.2571,64812.64,0.0808,36,2033.26,73197.42,0,,1067,4.0,"ok experience overall, no strong feelings to share.",,0,1,low,referral,5509.89
ACCT-0003318,2022-11-08,27.0,male,pacific,bachelor,full_time,premium,mobile,True,False,612,4018.19,48109.43,,0.8579,52213.5,0.1212,48,1378.09,66148.09,2,2.0,827,5.0,the agent kept rescheduling and the process took weeks. support never returned my calls about the missed payment.,2023-10-25,1,2,high,email,21980.58
ACCT-0007449,2023-05-12,64.0,male,west,bachelor,full_time,standard,mobile,True,False,708,4890.76,58982.4,15940.13,0.2703,18960.45,0.0798,12,1649.18,19790.2,0,2.0,199,3.0,easy to track payments through the mobile app.,,0,0,medium,organic,0.0
ACCT-0006371,2024-11-13,35.0,female,pacific,associate,full_time,standard,online,False,False,850,9443.95,113239.15,39246.76,0.3466,53527.21,0.067,24,2389.19,57340.6,1,0.0,75,7.0,"easy to track payments through the mobile app. great customer service, will recommend to friends and family.",,0,2,low,referral,7411.29
ACCT-0001327,2024-03-24,42.0,female,south,associate,full_time,standard,online,True,False,827,6905.36,82585.93,26368.25,0.3193,70531.51,0.1126,24,3295.72,79097.35,1,1.0,549,5.0,documentation requirements were typical for this kind of loan.,,0,2,low,organic,20929.67
ACCT-0008278,2023-07-11,20.0,female,west,high_school,full_time,standard,online,False,True,656,4969.28,59382.05,18952.38,0.3192,49791.35,0.1144,72,958.95,69044.45,0,1.0,1005,7.0,"process was fine, nothing exceptional either way. still evaluating against other offers from competitor banks.",,0,2,high,paid_ads,8691.43
ACCT-0007948,2023-02-22,47.0,female,midwest,bachelor,self_employed,basic,branch,False,False,650,6628.05,79722.19,21169.7,0.2655,29568.92,0.0786,24,1335.42,32050.17,0,2.0,1376,6.0,"rates were competitive and the funds came through quickly. transparent fees, no hidden charges that I noticed.",,0,0,high,paid_ads,11291.47
ACCT-0006716,2023-07-16,39.0,male,west,associate,contract,standard,mobile,True,True,638,3398.84,40640.9,14343.37,0.3529,38357.13,0.0984,60,811.94,48716.66,1,1.0,101,6.0,"still evaluating against other offers from competitor banks. process was fine, nothing exceptional either way.",,0,2,high,partner,10002.88
ACCT-0007262,2024-08-16,32.0,male,midwest,associate,full_time,basic,mobile,False,True,706,5869.93,70417.87,15331.71,0.2177,59460.33,0.0777,72,1035.76,74575.03,0,3.0,1002,3.0,"process was fine, nothing exceptional either way.",,0,1,medium,referral,0.0
ACCT-0001492,2024-09-12,34.0,male,midwest,bachelor,full_time,premium,branch,True,True,633,6987.87,83539.47,24846.21,0.2974,78344.69,0.1427,24,3771.38,90513.08,0,3.0,868,10.0,"ok experience overall, no strong feelings to share.",,0,0,high,partner,4089.87
ACCT-0008043,2024-12-27,40.0,female,south,bachelor,contract,basic,online,False,True,522,10408.85,124770.85,22097.11,0.1771,115260.07,0.118,72,2241.15,161362.46,0,,1083,9.0,"the autopay system charged me twice in the same month. fees were not explained clearly upfront, very disappointing.",2025-05-31,1,5,very_high,email,4542.12
ACCT-0001141,2024-09-10,38.0,female,northeast,bachelor,full_time,premium,online,True,False,646,3212.15,38643.12,11885.63,0.3076,14430.53,0.084,60,295.37,17722.29,0,1.0,1166,10.0,rates were competitive and the funds came through quickly. very smooth application process and the agent was helpful. easy to track payments through the mobile app.,,0,3,high,partner,7114.4
ACCT-0007399,2023-07-19,61.0,male,midwest,high_school,contract,premium,online,True,False,464,6067.6,72577.99,19352.09,0.2666,46051.24,0.0933,84,748.68,62889.48,1,0.0,805,9.0,very smooth application process and the agent was helpful.,,0,2,very_high,partner,3635.53
ACCT-0006070,2023-06-12,55.0,female,midwest,bachelor,full_time,standard,online,True,False,773,2740.46,32775.72,12931.15,0.3945,42600.31,0.0761,24,1919.09,46058.12,0,2.0,668,6.0,"process was fine, nothing exceptional either way.",,0,0,low,partner,0.0
ACCT-0002303,2024-05-06,31.0,male,south,high_school,full_time,standard,mobile,False,True,681,4191.36,50200.11,12691.14,0.2528,28113.71,0.1102,72,535.45,38552.53,0,1.0,833,5.0,easy to track payments through the mobile app.,,0,2,medium,paid_ads,12632.89
ACCT-0009102,2023-09-19,39.0,male,northeast,bachelor,part_time,standard,mobile,False,False,748,3495.98,41549.63,8475.26,0.204,56533.22,0.1142,24,2645.88,63501.01,1,3.0,665,9.0,,,0,1,low,organic,10420.09
ACCT-0004770,2022-03-09,19.0,female,midwest,associate,full_time,basic,mobile,True,False,689,8491.72,101919.0,28548.45,0.2801,100872.02,0.0797,84,1570.8,131947.15,0,0.0,1443,9.0,rates were competitive and the funds came through quickly. easy to track payments through the mobile app.,,0,0,medium,partner,6415.25
ACCT-0009644,2024-02-19,48.0,nonbinary,west,graduate,full_time,standard,branch,False,True,643,5604.11,67158.17,15772.72,0.2349,45354.25,0.0506,48,1045.72,50194.69,0,0.0,824,10.0,"process was fine, nothing exceptional either way. ok experience overall, no strong feelings to share.",2025-04-09,1,0,high,email,0.0
ACCT-0008705,2023-08-19,60.0,male,pacific,high_school,self_employed,premium,branch,False,True,581,5584.39,67011.45,19960.92,0.2979,76252.82,0.1047,48,1951.05,93650.54,1,1.0,730,10.0,"transparent fees, no hidden charges that I noticed.",,0,1,high,partner,9817.39
